Workorder Number,Brand,Product Line,Description ,MOLD,Mold Serial,Paint Code,Paint Description,WO St,VIN Number,Window1,Window2,Handles,Skirt,Door
14091325,SNUGTOP BRAND PRODUCT,SNUGTOP XTRA VISION,XTRA VISION 52TCDC16,REBEL 52TCDC16,1957,3R3,3R3 BARCELONA RED EFF,30,,CRS/SS 14X55-5/8X4DEG/R70,CRS/SS 14X55-5/8X4DEG/R70,TG/SL LIFT TAB-BLK E-COAT,,TOYOTA TACOMA 2016
14091327,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 52TCDC16,REBEL 52TCDC16,1957,218,218 ATTITUDE BLACK,50,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016
14091352,LEER BRAND PRODUCT,LEER 100XR,100XR 56FF15,100XL 56FF15,2577,E2 ,E2 MAGNUM RED,20,,RW 5515 25 DS DT,RW 5515 25 PS DT,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL/XQ FF15,RGL DOOR 65X19 XL
14091353,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 62TCDC16,REBEL 62TCDC16,1962,40,040 SUPER WHITE W8430,50,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016
14099973,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 56FF21,REBEL 56FF21,2929,JX ,JX LEAD FOOT GRAY,30,,FRONT DROP SLIDER 73-02,,SPRING POPOUT LOCK-TG SS,DOOR SKIRT FF21 REBEL,FORD F150 2015 TG WINDOW
14099983,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 80DR10,REBEL 80DR10,1811,PX8,PX8 BLACK D4014 F0204,20,,SLIDER 72X14 15D 1/2 DS,SLIDER 72X14 15D 1/2 PS,PROLOCK REMOTE KIT,,TAILGATE 2009 DODGE DC
14099993,SNUGTOP BRAND PRODUCT,SNUGTOP SUPER SPORT,SUPER SPORT 69FS17,SUPER SPORT 69FS17,,JS ,JS ICONIC SILVER,30,,97-02 FORD SS,99-00 SUPER DUTY F7 SS FIXED,TG/SL LIFT TAB-BLK E-COAT,,FORD SUPER DUTY 2017
14100074,LEER BRAND PRODUCT,LEER 100XR,100XR 62TCDC16,100XL 62TCDC16,2568,40,040 SUPER WHITE W8430,30,,RW 6313 0523 DS DT,RW 6313 0523 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL/XQ TCDC16,RGL DOOR 56X16 XL/XR GC15/TC16
14100087,SNUGTOP BRAND PRODUCT,SNUGTOP SPORT HI-LINER,SPORT HI LINER 65FSDS,SPORT HI LINER 65FSD,2274,UX+,UX+ INGOT SILVER M7226 2009,30,,"SLIDER 16x64"" 15D 1/2 DS","SLIDER 16x64"" 15D 1/2 PS",PROLOCK HANDLE 00775,23048 FIBERGLASS TG PIECE,TAILGATE F8/F9 FORD SD HL
14100094,LEER BRAND PRODUCT,LEER 100XL,100XL 58GSO19,100XL 58GSO19,,GBA,GBA BLACK WA8555,30,3GCUYDED3MG151557,FLIPPER VNT 5515 0525 R3.3 DS,FLIPPER VNT 5515 0525 R3.3 PS,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL GS19,RGL DOOR 63X16X20 GS19
14100112,LEER BRAND PRODUCT,LEER 100XR,100XR 80GO20-H,100XL 80GO20H,2845,GAZ,GAZ SUMMIT WHITE WA8624,30,,RW 8515 25 DS DT,RW 8515 25 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT ABS 100XL GO20H,RGL DOOR 63X20 20 180XL GSO19
14100272,LEER BRAND PRODUCT,LEER 100XR,100XR 52TCDC16,100XL 52TCDC16,2571,218,218 ATTITUDE BLACK,30,,RW 5013 0523 DS DT,RW 5013 0523 PS DT,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL/XQ TCDC16,RGL DOOR 56X16 XL/XR GC15/TC16
14103892,SNUGTOP BRAND PRODUCT,SNUGTOP XTRA VISION,XTRA VISION 56TT14,REBEL 56TT14,1857,1G3,1G3 MAGNETIC GREY EFF,30,,15-1/8X58-7/16 3.5/24.8,15-1/8X58-7/16 3.5/24.8,TG/SL LIFT TAB-BLK E-COAT,,TOYOTA TUNDRA 2014 TG WINDOW
14103904,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 56FF21,REBEL 56FF21,2929,JS ,JS ICONIC SILVER,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,SPRING POPOUT LOCK-TG SS,DOOR SKIRT FF21 REBEL,FORD F150 2015 TG WINDOW
