Workorder Number,Brand,Product Line,Description ,MOLD,Mold Serial,Paint Code,Paint Description,WO St,VIN Number,Window1,Window2,Handles,Skirt,Door
14129568,SNUGTOP BRAND PRODUCT,SNUGTOP SPORT HI-LINER,SPORT HI LINER 62TCDC16,SPORT HI LINER 62TCDC16,2339,1G3,1G3 MAGNETIC GREY EFF,30,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016 SHL
14131519,LEER BRAND PRODUCT,LEER 100XR,100XR 56FF15,100XL 56FF15,2577,J7 ,J7 MAGNETIC GREY,20,,RW 5515 25 DS DT,RW 5515 25 PS DT,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL/XQ FF15,RGL DOOR 65X19 XL
14131524,LEER BRAND PRODUCT,LEER 100XR,100XR 52GC15,100XL 52GC15,2619,GAZ,GAZ SUMMIT WHITE WA8624,30,,RAD 5013 0523 DS DT,RAD 5013 0523 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL GC15,RGL DOOR 56X16 XL/XR GC15/TC16
14131532,LEER BRAND PRODUCT,LEER 100XR,100XR 56FF21,100XL 56FF21,2649,HX ,HX ANTIMATTER BLUE,30,,RAD SLIDER 5515 0525 R3.3 DS,RAD SLIDER 5515 0525 R3.3 PS,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT ABS XL/XR FF21,RGL DOOR 65X19X20 XL/XR FF21
14144419,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 62TCDC16,REBEL 62TCDC16,1962,1J9,1J9 CELESTIAL SILVER METALLIC,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016
14144420,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 62TCDC16,REBEL 62TCDC16,1962,6V7,6V7* Army Green,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,SPRING POPOUT LOCK-TG SS,,TOYOTA TACOMA 2016
14144424,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 67GA20M-H,REBEL 67GA20-H,2514,GB8,GB8 EBONY TWLGHT METALLIC 384A,20,,WINDOOR 14X60X15DEG,WINDOW SB MINI & FULL SIZE-PS,WINDOOR HANDLE PRM( ) 1-1/2IN,,TAILGATE RUBBER BUMPER-TG
14144428,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 52TCDC16,REBEL 52TCDC16,1957,40,040 SUPER WHITE W8430,20,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,SPRING POPOUT LOCK-TG SS,,TOYOTA TACOMA 2016
14144615,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 52TCDC16,REBEL 52TCDC16,1957,4V6,4V6 BEIGE,20,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,PROLOCK HANDLE 00775,,TOYOTA TACOMA 2016
14144616,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 64DR09,REBEL 64DR09,1804,PAU,PAU GRANITE CRYSTAL MET,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,SPRING POPOUT LOCK-TG SS,,TAILGATE 2009 DODGE DC
14144617,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 65DR,REBEL 65DR,1364,PX8,PX8 BLACK D4014 F0204,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,23013 FIBERGLASS TG PIECE,2002 DODGE D2
14144618,SNUGTOP BRAND PRODUCT,SNUGTOP CAB-HI,CAB HI 65DR,CAB HI 65DR,1454,PR4,PR4 FLAME/POPPYRED D3521 B9326,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,,,RD 20-1/8X61-7/16X16DEG
14144619,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 56FF09,REBEL 56FF09,1832,UX+,UX+ INGOT SILVER M7226 2009,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK REMOTE KIT,,04 FORD DC SB
14144674,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 64DR09,REBEL 64DR09,1804,PAU,PAU GRANITE CRYSTAL MET,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK REMOTE KIT,,TAILGATE 2009 DODGE DC
14144680,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 77TCDC,REBEL 77TCDC,1518,1G3,1G3 MAGNETIC GREY EFF,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,SPRING POPOUT LOCK-TG SS,,TOYOTA TACOMA 2005
14144684,SNUGTOP BRAND PRODUCT,SNUGTOP SUPER SPORT,SUPER SPORT 62TCDC16,SUPER SPORT 62TCDC16,1975,40,040 SUPER WHITE W8430,20,,2016 TOYOTA TACOMA SS,2014 COLORADO POPOUT DS,SPRING POPOUT LOCK-TG SS,,TOYOTA TACOMA 2016
14144692,SNUGTOP BRAND PRODUCT,SNUGTOP SUPER SPORT,SUPER SPORT 80GS14,SUPER SPORT 80GS14,1908,GBA,GBA BLACK WA8555,20,,99-01 CHEVY SS POPOUT WIN DS,02-03 DODGE DC L/B,TG/SL LIFT TAB-BLK E-COAT,,TAILGATE 2014 CHEVY/GMC SB SS
14144700,LEER BRAND PRODUCT,LEER 100R,100R 52TCDC16,100R 52TCDC16,2578,6V7,6V7* Army Green,20,3TMCZ55AN8MM418111,RW 5013 0523 DS DT,RW 5013 0523 PS DT,,,RADIUS DOOR 5716 19 R3.7 2TFLT
14144701,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 58GS14,REBEL 58GS14,1852,50,50 OLYMPIC WHITE WA8624 B8550,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK HANDLE 00775,,TAILGATE RUBBER BUMPER-TG
14144713,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 56TT14,REBEL 56TT14,1857,218,218 ATTITUDE BLACK,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,PROLOCK REMOTE KIT,,TOYOTA TUNDRA 2014 TG WINDOW
14144716,SNUGTOP BRAND PRODUCT,SNUGTOP HI-LINER,HI LINER 64DR09,HI LINER 64DR09,1815,PRV,PRV=RED VELVET TRI-COAT 2016,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,,,TAILGATE 22-1/4X61-1/4X20.5DEG
14144738,LEER BRAND PRODUCT,LEER 100XR,100XR 66GSO19,100XL 66GSO19,2606,G9K,G9K SATIN STEEL EFFECT 464C,20,,RW 6715 25 DS DT,RW 6715 25 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL GS19,RGL DOOR 63X16X20 GS19
14144786,SNUGTOP BRAND PRODUCT,SNUGTOP SUPER SPORT,SUPER SPORT 62TCDC16,SUPER SPORT 62TCDC16,1975,1H5,1H5 CEMENT GREY EFFECT,20,,2016 TOYOTA TACOMA SS,2014 COLORADO POPOUT DS,TG/SL LIFT TAB-BLK E-COAT,,TOYOTA TACOMA 2016
14144823,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 64DR09,REBEL 64DR09,1804,PFA,PFA PRAIRIE PEARL,20,,WINDOW SB MINI & FULL SIZE-DS,WINDOW SB MINI & FULL SIZE-PS,SPRING POPOUT LOCK-TG SS,,TAILGATE 2009 DODGE DC
14144865,LEER BRAND PRODUCT,LEER 100XR,100XR 66GS14,100XL 66GS14,2586,GAZ,GAZ SUMMIT WHITE WA8624,20,3GCUKREC0FG135616,RW 6915 0820 DS DT,RW 6915 0820 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL/XQ GS14,RGL DOOR 60.8X18.4 XL 14+ GM
14146448,LEER BRAND PRODUCT,LEER 100XL,100XL 52GC15,100XL 52GC15,2619,PAI,PAINT COLOR/CODE,20,*NONE,FLIPPER VNT 5113 0523 R3.3 DS,FLIPPER VNT 5113 0523 R3.3 PS,ET-10 HANDLE ASSEMBLY BLACK,DOOR SKIRT TPO 100XL GC15,RGL DOOR 56X16 XL/XR GC15/TC16
14146958,LEER BRAND PRODUCT,LEER 100XR,100XR 56FF21,100XL 56FF21,2649,JS ,JS ICONIC SILVER,20,,RW 5515 25 DS DT,RW 5515 25 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT ABS XL/XR FF21,RGL DOOR 65X19X20 XL/XR FF21
14147065,SNUGTOP BRAND PRODUCT,SNUGTOP GB SPORT,GB SPORT 62TCDC16,GB SPORT 62TCDC16,2052,6X3,6X3 LUNAR ROCK,20,,NISSAN NAVARA POPOUT WINDOW-DS,TOYOTA TACOMA FIXED WINDOW-DS,TG/SL LIFT TAB-BLK E-COAT,,TOYOTA TACOMA 2016 GB2
14149378,LEER BRAND PRODUCT,LEER 100XR,100XR 52TCDC16,100XL 52TCDC16,2571,1D6,1D6 SILVERSKY PM M9912,20,3TMAZ5CNXJM057223,RW 5013 0523 DS DT,RW 5013 0523 PS DT,LOW PROFILE FLIP HANDLE W/SPRG,DOOR SKIRT TPO 100XL/XQ TCDC16,RGL DOOR 56X16 XL/XR GC15/TC16
14159074,SNUGTOP BRAND PRODUCT,SNUGTOP REBEL,REBEL 52TCDC16,REBEL 52TCDC16,1957,1G3,1G3 MAGNETIC GREY EFF,30,,RD 14X48 12/20 E6 FIXED SCREEN,RS 14X48 12/20 E6 FIXED SCREEN,SPRING POPOUT LOCK-TG SS,,TOYOTA TACOMA 2016
